agricola,8.03448
dominion: seaside, 8.
smallworld,error
memoir '44,7.5379
zooloretto,6.86856
escape: the curse of the temple,7.07763
dixit,7.3357
ticket to ride,error
dominion,error
qwirkle,6.8105
blokus 3d,6.81886
blokus,6.92726
creationary,5.95612
galaxy trucker: the big expansion,error
ricochet robots,6.99994
The Castles of Burgundy,8.11497
race for the galaxy,error
alhambra,7.03611
carcassonne,7.43367
forbidden island,6.84266
patchwork,7.7818
struggle for catan,6.46283
Lost Cities,0
quarto,6.5
hey! that's my fish!,6.75357
bang!,5.175
Race for the galaxy: gathering storm,erro
Snap: The Interlocking Dragon-Making Game
wazabi,error
flea circus,4.625
cockroach salad,error
chicken cha cha cha,error
gulogulo,error
monza,error
level 8,error
sentinels of the multiverse,error
loony quest,
Clue: Carnival â€“ The Case of the Missing Prizes
"rivers, roads & rails",error
squint,error
yamodo,error
taboo,error
activity,5.2
monopoly,error
